DATE-CUSTOMER_ID,PRODUCT_ID
11/1/00-110411,4710199010372
11/1/00-120107,4710857472535
11/1/00-100407,4710043654103
11/1/00-120108,4710126092129
11/1/00-100205,4710176021445
11/1/00-110122,78895770025
11/1/00-110507,4710192225520
11/1/00-520503,4712936888817
11/1/00-320203,4715398106864
11/1/00-120110,4710126091870
11/1/00-520473,4711713290201
11/1/00-530503,4710314491017
11/1/00-110136,4710088410207
11/1/00-100505,4710154012144
11/1/00-120110,4710126091849
11/1/00-110505,20000102818
11/1/00-130103,4710583910004
11/1/00-715911,4902520162847
11/1/00-110408,4710734001346
11/1/00-100416,8801055190294
11/1/00-110504,4710323168054
11/1/00-530103,4710054139804
11/1/00-110103,4712031000060
11/1/00-130110,4902181016893
11/1/00-560405,4710043004090
11/1/00-120307,4710131130311
11/1/00-100510,4710088424655
11/1/00-130315,4714981010038
11/1/00-110401,4710088410443
11/1/00-110133,4710868501019
11/1/00-130106,4710583110015
11/1/00-130315,4714981010038
11/1/00-110111,4710985010272
11/1/00-320402,20546601
11/1/00-110117,4710012122121
11/1/00-130103,4710088436498
11/1/00-120103,4710011405133
11/1/00-110411,4710085120628
11/1/00-100205,4714125961004
11/1/00-120103,4710011401128
11/1/00-110217,4719090900058
11/1/00-100505,4710018008634
11/1/00-110411,4710088412201
11/1/00-130308,4710290004171
11/1/00-520469,4716349008084
11/1/00-120108,4710088443328
11/1/00-100311,4710022102892
11/1/00-500303,4710364142068
11/1/00-520227,20411909
11/1/00-110136,4710088410207
11/1/00-120103,4711524000457
11/1/00-110121,4710134023276
11/1/00-120103,4710011409056
11/1/00-110106,4711271000014
11/1/00-100205,4710098162806
11/1/00-130204,4710088432674
11/1/00-110102,4714617943044
11/1/00-510113,20549404
11/1/00-520473,4711713390031
11/1/00-120102,4710357308303
11/1/00-130401,4710057870148
11/1/00-110201,4712500125010
11/1/00-100505,4710018031632
11/1/00-110411,4710109770402
11/1/00-100312,4710543310066
11/1/00-120106,4710011402019
11/1/00-100323,4710362020740
11/1/00-501002,2250062000090
11/1/00-130206,4711080040195
11/1/00-712901,4902704244567
11/1/00-130301,4710998000406
11/1/00-100429,4901201906015
11/1/00-120105,4719090106016
11/1/00-130401,4710585930666
11/1/00-120101,4710088490247
11/1/00-100205,8801019931536
11/1/00-110401,4710008290025
11/1/00-110401,4710088410139
11/1/00-100205,4710467221196
11/1/00-110401,74603003171
11/1/00-530406,4710094021497
11/1/00-110507,4710172030083
11/1/00-320501,20565909
11/1/00-530206,4713080000100
11/1/00-130315,4714981010038
11/1/00-120103,4710011401128
11/1/00-120108,4710088443250
11/1/00-530209,4710731050101
11/1/00-100205,4710047512515
11/1/00-120104,4716702000052
11/1/00-120105,4710321791698
11/1/00-120105,4719090105002
11/1/00-530404,4710038850527
11/1/00-120101,4710011411417
11/1/00-100201,84501297329
11/1/00-130315,4714981010038
11/1/00-120103,4710011406123
11/1/00-530107,7038513912056
11/1/00-110217,4710265849066
11/1/00-120107,4711781730630
11/1/00-100201,4710247005299
